ID Steves_ID ra dec x y
29577 z4_GND_44425 189.102562 62.287857 13857.772 13201.002
27897 z4_GND_9661 189.136999 62.278954 12897.677 12665.212
11122 z4_GND_36573 189.324379 62.197794 7660.682 7795.794
16876 z4_GND_27682 189.356356 62.225894 6769.12 9483.365
2635 z4_GND_267 189.274288 62.144992 9060.27 4626.17
9543 z4_GND_38671 189.281455 62.190328 8861.57 7346.484
28841 z4_GND_44723 189.261141 62.283948 9433.005 12963.309
17815 z4_GND_26047 189.347526 62.230482 7016.527 9758.153
30355 z4_GND_44050 189.254423 62.292231 9620.685 13460.21
15664 z4_GND_29714 189.367532 62.219671 6455.861 9110.625
28777 z4_GND_8795 189.229608 62.283619 10312.954 12943.34
20777 z4_GND_21018 189.284495 62.244548 8779.276 10599.706
16971 z4_GND_27553 189.374025 62.226265 6275.178 9506.645
19704 z4_GND_22985 189.370089 62.238984 6386.891 10269.514
21016 z4_GND_20609 189.107217 62.245741 13732.631 10673.817
18598 z4_GND_24741 189.344281 62.234128 7107.629 9976.756
26188 z4_GND_11906 189.131148 62.27035 13061.741 12149.23
11432 z4_GND_36171 189.276423 62.199288 9002.802 7883.979
20031 z4_GND_22415 189.285968 62.240638 8737.903 10365.171
5862 z4_GND_2353 189.250979 62.169005 9714.218 6066.561
11319 z4_GND_36350 189.260543 62.198608 9447.188 7842.897
10958 z4_GND_36803 189.254872 62.19694 9605.847 7742.757
27788 z4_GND_9699 189.119888 62.278586 13375.279 12643.87
14617 z4_GND_31372 189.275185 62.214335 9038.121 8786.745
21077 z4_GND_20494 189.308827 62.246039 8099.492 10689.893
33819 z4_GND_6636 189.204675 62.31488 11008.023 14819.091
10155 z4_GND_37858 189.219283 62.193261 10601.862 7521.88
27076 z4_GND_10683 189.200546 62.274586 11124.19 12401.487
16856 z4_GND_27703 189.285657 62.225891 8745.808 9480.368
12263 z4_GND_35055 189.371115 62.203299 6353.488 8128.502
20187 z4_GND_22071 189.250452 62.241777 9730.436 10432.9
16206 z4_GND_28799 189.110706 62.222485 13637.669 9278.272
27015 z4_GND_45262 189.117323 62.274332 13447.316 12388.793
23711 z4_GND_15948 189.15929 62.258855 12276.808 11458.542
26216 z4_GND_11852 189.273678 62.270643 9082.622 12165.186
